freq,unit,geo\TIME_PERIOD	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
A,PPS_HAB,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	43.21 	46.53 	56.52 	55.49 	61.39 	54.71 	49.6 	52.14 	53.25 	58 	56.47 	55.47 	54.15 	51.95 	51.38 	51.53 	50.22 	49.08 	50.37 e	: 	: 	: 	: 
A,PPS_HAB,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.78 	1.11 	1.89 	1.94 	1.63 	1.38 	2.71 	2.25 	3.08 	2.35 	2.84 	3.01 	1.22 	1.71 	1.54 	1.57 	2.25 	2.8 	3.32 e	: 	: 	: 	: 
A,PPS_HAB,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	73.73 	79.65 	86.08 	92.59 	94.59 	97 	99.51 	91.07 	96.73 	102.87 	105.25 	98.14 	91.21 	85.38 	89.46 	90.22 	84.78 	80.44 	80.61 e	: 	: 	: 	: 
A,PPS_HAB,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.14 	0.27 	0.37 	0.83 	0.38 	0.27 	0.31 	0.81 	0.29 	0.44 	0.45 	0.65 	0.33 	0.24 	0.11 	0.36 e	: 	: 	: 	: 
A,PPS_HAB,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.61 	2.62 	3.59 	5.22 	4.66 	4.93 	4.95 	6.08 	7.02 	6.64 	6.04 	8.09 	9.19 	10.38 	9.08 	9.78 	10.98 	11.21 	12.16 e	: 	: 	: 	: 
A,PPS_HAB,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	692.37 	798.05 	870.95 	945.8 	971.71 	987.31 	958.03 	934.91 	929.52 	925.39 	925.59 	884.58 	847.1 	799.07 	871.36 	802.87 	745.56 	696.2 	669.6 e	: 	: 	: 	: 
A,PPS_HAB,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	26 	30.67 	29.59 	35.92 	37.43 	39.34 	36.87 	36.87 	43.43 	41.09 	43.09 	38.91 	42.84 	42.02 	41.59 	41.33 	46.56 	41.06 	42.27 e	: 	: 	: 	: 
A,PPS_HAB,EA18	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1518.6 	1701.61 	1834.75 	1930.94 	2009.34 	1989.51 	1930.46 	1884.74 	1929.3 	1963.14 	1948.39 	1884.18 	1782.62 	1736.2 	1849.84 	1760.59 	1721.06 	1671.39 	1655.06 e	: 	: 	: 	: 
A,PPS_HAB,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.57 	0.95 	0.88 	0.73 	0.96 	0.53 	1 	0.56 	1.01 	0.69 	0.46 	1.36 	1.61 	2.05 	3.02 	2.46 	1.61 	1.29 	1.48 e	: 	: 	: 	: 
A,PPS_HAB,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.54 	3.22 	4.25 	4.76 	3.92 	3.52 	4.16 	4.18 	4.43 	3.27 	5.42 	4.86 	4.59 	4.06 	4.15 	3.03 	4.2 	5.21 	: 	: 	: 	: 	: 
A,PPS_HAB,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	28.74 	30.57 	38.71 	38.63 	42.92 	43.41 	45.26 	45.39 	46.07 	55.59 	59.55 	54.5 	52.99 	55.73 	63.34 	62.45 	60.92 	62.21 	61.75 e	: 	: 	: 	: 
A,PPS_HAB,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2133.83 	2366.95 	2520.05 	2656.36 	2771.35 	2724.06 	2611.4 	2526.51 	2571.85 	2568.5 	2553.97 	2474.89 	2343.13 	2281.99 	2417.67 	2326.62 	2288.67 	2226.34 	2208.45 e	: 	: 	: 	: 
A,PPS_HAB,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	45.48 	52.75 	57.08 	61.19 	70.17 	64.36 	62.19 	55.05 	55.62 	56.17 	52.29 	50.23 	43.58 	42.63 	48.93 	49.89 	46.29 	55.71 	60.81 e	: 	: 	: 	: 
A,PPS_HAB,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	302.51 	319.78 	338.01 	347.52 	353.47 	333.98 	320.34 	315.71 	345.99 	352.31 	339.69 	333.68 	321.36 	327.25 	339.72 	319.16 	325.69 	321.13 	322.76 e	: 	: 	: 	: 
A,PPS_HAB,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.13 	1.38 	2.02 	2.27 	2.14 	1.63 	2.1 	3.32 	3.46 	2.57 	2.53 	2.52 	2 	1.78 	1.48 	2.06 	1.12 	1.24 	1.19 e	: 	: 	: 	: 
A,PPS_HAB,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.46 	8.16 	8.63 	6.25 	11.88 	11.79 	8.72 	9.64 	10.33 	11.28 	9.55 	11.07 	12.49 	11.4 	12.05 	12.14 	13.11 	12.22 	12.53 e	: 	: 	: 	: 
A,PPS_HAB,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.5 	6.63 	7.01 	9.1 	10.39 	8.22 	9.61 	7.99 	7.77 	8.87 	8.48 	8.48 	9.02 	9.98 	11.51 	10.32 	11.51 	9.52 	10.13 e	: 	: 	: 	: 
A,PPS_HAB,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.57 	0.66 	0.72 	1 	1.46 	1.5 	0.81 	1.51 	1.19 	1.13 	1.14 	1.04 	0.82 	0.81 	0.91 	0.65 	0.79 	0.94 	0.95 e	: 	: 	: 	: 
A,PPS_HAB,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	139.22 	155.37 	162.55 	164.07 	177.85 	179.66 	170.4 	183.87 	191.14 	198.98 	208.11 	205.22 	189.51 	182.81 	182.33 	179.31 	173.12 	169.28 	170.69 e	: 	: 	: 	: 
A,PPS_HAB,JP	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	656.66 	712.23 	735.07 	788.57 	897.65 	982.32 	900.98 	908.38 	940.06 	941.59 	872.67 	849.93 	790.37 	740.98 	826.47 	853.11 	844.24 	: 	: 	: 	: 	: 	: 
A,PPS_HAB,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.58 	0.27 	0.21 	0.1 	0.43 	0.63 	0.38 	0.29 	1.64 	1 	0.72 	0.71 	0.63 	1.05 	0.61 	1.05 	1.12 	1.78 	2.13 e	: 	: 	: 	: 
A,PPS_HAB,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.89 	1.22 	1.46 	2.01 	1.48 	1.73 	1.58 	1.24 	1.71 	2.11 	1.73 	1.68 	1.08 	1.42 	1.26 	1.2 	1.05 	1 	0.96 e	: 	: 	: 	: 
A,PPS_HAB,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.66 	0.75 	0.27 	1.3 	0.68 	0.81 	0.78 	0.97 	1.61 	1.31 	1.1 	1.56 	1.47 	1.17 	1.19 	1.65 	3.88 e	: 	: 	: 	: 
A,PPS_HAB,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.15 	0.28 	0.34 	0.27 	0.34 	0.24 	0.19 	0.35 	0.63 	0.37 	0.35 	0.27 	0.39 	0.16 	0.02 	0.25 	0.21 e	: 	: 	: 	: 
A,PPS_HAB,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	97.23 	110.85 	116.86 	118.95 	127.07 	136.1 	148.69 	130.8 	131.17 	131.49 	120.04 	120.83 	101.46 	103.19 	111.42 	96.52 	106.14 	104.29 	103.31 e	: 	: 	: 	: 
A,PPS_HAB,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12.06 	12.32 	13.14 	14.35 	14.82 	12.82 	11.26 	12.55 	10.89 	11.14 	12.54 	11.15 	10.68 	9.51 	14.44 	11.95 	10.52 	10.52 	10.13 e	: 	: 	: 	: 
A,PPS_HAB,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.31 	4 	3.74 	3.5 	4.22 	4.68 	6.23 	8.45 	10.85 	11.42 	11.13 	11.41 	14.84 	16.58 	20.54 	23.46 	23.46 	28.26 	31.27 e	: 	: 	: 	: 
A,PPS_HAB,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.24 	1.59 	1.79 	2 	2.56 	2.73 	2.67 	2.42 	4.07 	3.5 	6.86 	5.69 	6.32 	6 	4.91 	4.85 	6.27 	5.78 	6.13 e	: 	: 	: 	: 
A,PPS_HAB,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.56 	0.55 	1.71 	1.16 	1.64 	1.2 	1.88 	1.89 	2.5 	3.09 	3.59 	2.19 	3.04 	2.74 	2.66 	2.79 	4.68 	5.27 	6.12 e	: 	: 	: 	: 
A,PPS_HAB,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	83.21 	94.84 	103.36 	99.82 	98.75 	95.26 	88.92 	82.65 	80.02 	82.24 	89.55 	90.98 	91.31 	90.22 	93.12 	93.27 	90.14 	95.83 	99.05 e	: 	: 	: 	: 
A,PPS_HAB,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.2 	1.57 	1.56 	2.91 	2.18 	3.23 	3.23 	4.96 	4.25 	5.98 	5.53 	4.85 	5.43 	6.12 	6.1 	5.16 	5.29 	5.92 	6 e	: 	: 	: 	: 
A,PPS_HAB,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.99 	1.1 	1.53 	1.28 	1.71 	1.18 	1.19 	2.31 	2.73 	1.68 	2.32 	2.71 	2.3 	2.04 	1.7 	2.57 	2.9 	2.3 	2.54 e	: 	: 	: 	: 
A,PPS_HAB,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.05 	3.09 	3.05 	4.22 	3.09 	5.62 	6.73 	8.93 	11.27 	13.93 	17.38 	17.97 	21.29 	22.01 	31.53 	39.8 	29.11 	: 	: 	: 	: 	: 	: 
A,PPS_HAB,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	225.87 	234.36 	235.41 	257.31 	273.41 	265.63 	237.84 	227.57 	223.4 	209.11 	204.03 	200.96 	191.54 	188.51 	207.14 	203.54 	205.86 	202.59 	197.4 e	: 	: 	: 	: 
A,PPS_HAB,US	382.44 	538.21 	636.23 	664.54 	765.3 	792.18 	734.81 	740.73 	737.43 	778.05 	809.39 	809.25 	814.79 	785.33 	762.76 	776.86 	788.64 	908.48 	918.52 	973.81 	1021.28 	1037.57 	1015.78 	995.02 	1025.38 	1026.46 	1023.87 	1017.41 	935.63 	837.88 	824.16 	865.59 	827.92 	868.11 	864.63 	886.79 e	: 	: 	: 	: 
A,P_BERD,AT	: 	: 	: 	789.93 	: 	: 	921.22 	956.08 	: 	: 	: 	720.58 	: 	: 	: 	503.86 	: 	: 	: 	: 	444.64 	: 	: 	: 	412.39 	: 	407.59 	362.15 	393.45 	355.35 	310.77 	336.01 	320.72 	316.24 	289.99 	282.3 e	281.63 e	: 	: 	: 
A,P_BERD,BE	: 	: 	: 	274.79 	332.63 	317.14 	361.86 	309.11 	333.21 	334.65 	331.93 	362.96 	: 	333.61 	334.55 	355.16 	323.84 	314.15 	327.2 	398.83 	382.94 	406.52 	365.86 	309.89 	364.47 	377.82 	407.19 	402.35 	375.6 	354.03 	322.88 	309.99 	301.35 	270.16 	232.03 	227.73 e	219.43 e	: 	: 	: 
A,P_BERD,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	66.17 	38.18 	23.22 	51.84 	98.28 	139.47 	154.3 	84.33 	266.87 	178.91 	719.67 	753.5 	566.6 	487.47 	1097.08 	972.48 	1200.77 	748.62 	1017.98 	878.48 	279.81 	360.74 	286.21 	156.48 	225.61 	220.26 	244.41 e	216.66 e	: 	: 	: 
A,P_BERD,CH	: 	: 	: 	804.71 	: 	739.82 	: 	: 	465.98 	: 	: 	514.53 	: 	: 	494.34 	: 	: 	: 	419.24 	: 	: 	: 	538.19 	: 	: 	: 	491.57 	: 	: 	: 	419.74 	: 	: 	: 	304.79 	: 	: 	: 	: 	: 
A,P_BERD,CN_X_HK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	48.46 	57.25 	80.5 	77.76 	101.91 	88.4 	94.85 	82.62 	89.59 	74.08 	63.6 	62.21 	60.21 e	: 	: 	: 	: 
A,P_BERD,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1549.19 	1801.15 	: 	: 	: 	: 	: 	762.2 	947.88 	1186.15 	2775.07 	1008.89 	571.59 	602.59 	1380.42 	446.28 	641.3 	672.36 	926.74 	518.38 	441.05 	209.05 	594.4 e	561.54 e	: 	: 	: 
A,P_BERD,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	78.34 	93.24 	68.68 	112.2 	129.63 	156.92 	148.03 	149.24 	142.49 	155.51 	179.58 	163.4 	141.76 	167.75 	179.09 	178.8 	162 	159.32 	157.84 	150.39 	154.52 e	156.04 e	: 	: 	: 
A,P_BERD,DE	: 	: 	: 	630.51 	555.14 	593.32 	608.6 	571.62 	539.34 	552.12 	570.88 	543.18 	486.96 	449.31 	443.85 	446.92 	472.74 	465 	558.35 	608.21 	649.8 	624.25 	621.23 	603.84 	592.07 	584.17 	603.05 	622.63 	586.88 	566.91 	502.96 	517.72 	499.56 	449.58 	407.7 	400.01 e	369.13 e	: 	: 	: 
A,P_BERD,DK	: 	: 	: 	569.49 	459.69 	469.03 	475.74 	439.26 	361.41 	340.91 	404.39 	393.97 	351.44 	343.6 	352.48 	357.11 	: 	345.61 	384.63 	359.52 	390.21 	378.13 	378.88 	316.62 	302.08 	332.7 	334.25 	343.31 	314.27 	319.56 	278.98 	243.8 	271.17 	301.12 	264.87 	271.59 e	270.94 e	: 	: 	: 
A,P_BERD,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	527.16 	505.2 	490.61 	492.59 	502.36 	502.85 	476.61 	447.03 	409.17 	413.08 	395.7 	371.29 	349.9 	344.72 e	333.88 e	: 	: 	: 
A,P_BERD,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	927.47 	831.43 	549.56 	558.94 	333.78 	503.16 	264.4 	135.83 	316.27 	344.66 	392.42 	509.6 	333.41 	114.89 	108.13 	179.37 e	195.43 e	: 	: 	: 
A,P_BERD,EL	: 	: 	: 	546.9 	: 	: 	: 	: 	373.71 	: 	423.05 	456.17 	: 	341.98 	: 	166.3 	: 	216.94 	310.31 	374.26 	: 	228.34 	279 	255.66 	268.03 	271.62 	208.84 	309.41 	288.27 	270.57 	: 	: 	: 	175.46 	221.46 	214.04 e	233.22 e	: 	: 	: 
A,P_BERD,ES	: 	: 	: 	153.7 	149.64 	253.5 	158.09 	187.88 	180.33 	194.99 	172.92 	167.39 	132.76 	153.32 	140.9 	204.93 	242.21 	220.35 	225.13 	295.72 	255.88 	282.59 	261.69 	269.26 	238.15 	216.68 	250.24 	248.61 	206.12 	186.25 	178.8 	202.55 	201.32 	200.14 	213.95 	219.05 e	226.26 e	: 	: 	: 
A,P_BERD,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	467.78 	444.11 	432.31 	441.75 	450.51 	450.04 	425.78 	401.07 	376.07 	387.68 	371.88 	349.97 	330.77 	325.47 e	314.02 e	: 	: 	: 
A,P_BERD,FI	: 	: 	: 	316.66 	: 	305.14 	291.85 	270.51 	302.01 	357.82 	339.93 	332.68 	334.54 	360.25 	511.77 	635.73 	570.28 	502.4 	508.75 	527.23 	527.46 	541.39 	457.67 	429.88 	383.3 	367.35 	382.74 	346.61 	328.95 	282.93 	248.18 	271.53 	286.76 	266.9 	348.86 	379.18 e	422.46 e	: 	: 	: 
A,P_BERD,FR	: 	: 	: 	454.36 	432.01 	440.56 	409.22 	399.62 	391.76 	422.68 	432.99 	406.55 	357.23 	342.34 	299.57 	296.11 	302.86 	307.24 	325.21 	363.19 	386.8 	386.53 	378.02 	351.44 	341.17 	367.63 	370.72 	372.85 	355.86 	349.24 	339.18 	327.82 	309.23 	309.31 	296.1 	292.2 e	293.11 e	: 	: 	: 
A,P_BERD,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	318.95 	355.05 	223.23 	259.09 	325.26 	220.67 	153.23 	143.05 	205.15 	112.84 	128.1 	104.1 e	88.79 e	: 	: 	: 
A,P_BERD,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	458.95 	484.46 	500.96 	732.74 	707.73 	713.47 	478.82 	404.17 	514.53 	644.59 	605.68 	518.99 	907.16 	676.39 	456.35 	481.1 	523.34 	517.3 	375.05 	379.49 	388.42 	325.45 	301.88 	290.21 	294.67 	251.82 	219.43 e	217.52 e	: 	: 	: 
A,P_BERD,IE	: 	: 	: 	328.97 	372.94 	390.78 	427.79 	365.48 	393.86 	495.03 	349.25 	395.09 	339.01 	279.78 	264.57 	206.25 	204.19 	217.63 	204.98 	202.08 	266.72 	297 	244.97 	279.78 	228.06 	205.95 	225.79 	206.63 	198.87 	205.45 	194.68 	185.35 	176.76 	199.98 	159.66 	162.78 e	157.02 e	: 	: 	: 
A,P_BERD,IS	: 	: 	: 	1043.3 	: 	372.44 	: 	880.66 	: 	217.88 	: 	406.55 	726.06 	744.26 	351.89 	281.69 	408.55 	426.79 	: 	327.67 	440.85 	409.43 	264.82 	138.04 	250.98 	217.52 	: 	177.21 	142.34 	113.37 	167.9 	209.58 	137.35 	162.61 	: 	230.9 e	230.7 e	: 	: 	: 
A,P_BERD,IT	: 	: 	: 	447.05 	398.61 	409.94 	409.22 	405.41 	402.36 	432 	407.37 	398.28 	344.13 	358.88 	345.43 	441.77 	485.03 	553.29 	552.47 	584.4 	607.23 	657.08 	642.17 	598.61 	599.32 	629.92 	630.24 	625.21 	617.37 	521.15 	467.2 	432.76 	425.44 	407.8 	390.16 	374.66 e	366.14 e	: 	: 	: 
A,P_BERD,JP	: 	: 	: 	255.56 	257.21 	243.88 	232.08 	201.77 	201.92 	246.2 	234.3 	240.28 	257.62 	200.4 	188.27 	161.28 	148.92 	165.06 	197.51 	198.53 	222.36 	217.19 	202.44 	194.11 	214.92 	247.1 	263.47 	237.99 	240.25 	249.73 	217.07 	215.73 	212.2 	196.94 	177.65 	219.81 e	: 	: 	: 	: 
A,P_BERD,KR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	182.61 	157.36 	129.32 	154.15 	214.01 	311.56 	376.08 	357 	297.07 	251.73 	248.82 	307.61 	252.19 	216.55 	195.84 	192.58 e	: 	: 	: 	: 
A,P_BERD,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1290.88 	507.83 	638.1 	1306.62 	298.59 	118.66 	158.38 	725.42 	379.02 	274.97 	181.66 	147.7 	275.54 	152.46 	246.3 	254.34 	405.27 	480.22 e	447.17 e	: 	: 	: 
A,P_BERD,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	238.72 	: 	: 	229.76 	292.65 	241.2 	220.7 	149.05 	194.13 	158.55 	191.78 	167.71 	217.17 	204.47 e	189.16 e	: 	: 	: 
A,P_BERD,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	737.05 	914.97 	399.81 	594.31 	373.66 	402.05 	548.82 	472.66 	601.84 	290.32 	383.28 	642.9 	604.04 	392.4 	457.57 	819.38 	1701.58 e	1458.48 e	: 	: 	: 
A,P_BERD,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1362.86 	923.03 	377.22 	622.1 	331.16 	326.76 	256.55 	387.6 	133.81 	10.47 	151.96 	136.28 e	132.38 e	: 	: 	: 
A,P_BERD,NL	: 	: 	: 	619.21 	647.96 	623.22 	658.16 	589.99 	541.53 	570.18 	606.51 	636.77 	597.53 	595.42 	611.38 	560.06 	514.18 	535.38 	618.34 	650.13 	702.01 	694.51 	778.5 	833.09 	783.14 	729.02 	723.43 	680.43 	683.54 	609.32 	656.8 	704.91 	586.39 	498.37 	478.9 	474.71 e	471.87 e	: 	: 	: 
A,P_BERD,NO	: 	: 	: 	202.83 	178.81 	136.02 	186.74 	158.23 	: 	136.19 	: 	206.15 	: 	196.9 	: 	188.36 	: 	219.41 	: 	243.21 	: 	278.45 	: 	197.34 	203.74 	180.45 	221.7 	253.3 	228.12 	200.84 	173.92 	241.55 	192.06 	161.07 	155.69 	146.01 e	141.4 e	: 	: 	: 
A,P_BERD,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	64.14 	77.58 	32.7 	68.02 	72.19 	76.06 	67.76 	73.4 	55.84 	83.52 	79.66 	66.94 	80.77 	99.72 	123.56 	350.81 	385.95 	381.22 	290.78 	294.16 	376.88 	344.36 	488.25 	520.47 	450.22 	378.67 	365.1 e	338.41 e	: 	: 	: 
A,P_BERD,PT	: 	: 	: 	: 	122.19 	73.2 	152.71 	173.37 	178.49 	298.4 	194.32 	103.53 	103.31 	108.41 	105.62 	191.14 	146.68 	142.31 	163.21 	174.08 	171.87 	201.24 	163 	128.52 	118.26 	197.37 	146.24 	265.9 	144.55 	122.51 	90.39 	70.34 	75.09 	99.5 	97.27 	110.75 e	123.22 e	: 	: 	: 
A,P_BERD,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	30.83 	48.69 	44.6 	19.65 	54.61 	37.12 	77.15 	58.14 	95.18 	102.53 	137.8 	178.34 	176.45 	93.71 	119.83 	138.03 	139.37 	157.73 	254.97 	285.26 	497.62 e	427.5 e	: 	: 	: 
A,P_BERD,RU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	171.3 	109.39 	86.73 	58.83 	67.93 	64.47 	68.48 	48.21 	37.63 	33.52 	37.56 	42.61 	40.34 	34.42 	35.72 e	40.28 e	: 	: 	: 
A,P_BERD,SE	: 	: 	: 	461.97 	: 	495.06 	: 	369.89 	: 	325.94 	: 	282.98 	: 	240.99 	: 	302.6 	: 	322.74 	: 	356.6 	: 	342.09 	: 	265.06 	: 	260.77 	292.83 	316.48 	301.41 	336.32 	305.72 	346.56 	345.17 	311.43 	327.69 	326.08 e	370.34 e	: 	: 	: 
A,P_BERD,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	296.47 	223.19 	211.8 	168.85 	163.46 	290.42 	201.08 	293.33 	258.67 	387.41 	350.74 	440.23 	446.33 	344.61 	401.1 	348.78 	290.41 	210.08 	169.77 	180.23 	178.72 e	196.2 e	: 	: 	: 
A,P_BERD,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	113.64 	92.84 	98.37 	82.68 	110.03 	195.9 	119.45 	122.22 	269.23 	336.26 	240.77 	323.05 	432.81 	389.92 	281.93 	232.04 	265.34 	314.85 	184.02 	176.04 e	206.06 e	: 	: 	: 
A,P_BERD,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	47.98 	31.48 	3.32 	24.64 	35.96 	39.89 	88.33 	60.79 	109.98 	52.77 	96.75 	126.01 	179.77 	277.04 	300.3 	213.45 	209.55 	170.96 	161.05 	229.75 	245.88 	189.29 	176.34 	174.45 e	: 	: 	: 	: 
A,P_BERD,UK	: 	: 	: 	354.61 	: 	404.66 	: 	369.17 	396.83 	393.83 	384.49 	339.48 	305.74 	297.71 	309.81 	312.21 	321.87 	347.05 	369.26 	332.58 	346.96 	337.82 	322.13 	295.14 	284.6 	309.76 	301.37 	291.42 	276.75 	246.53 	270.08 	310.65 	285.79 	270.95 	255.45 	247.19 e	217.78 e	: 	: 	: 
A,P_BERD,US	: 	: 	: 	166.27 	156.08 	142.85 	115.06 	107.73 	139.36 	173.34 	188.61 	181.26 	205.76 	186.7 	196.74 	186.77 	198.18 	220.58 	208.08 	191.15 	192.54 	181.58 	148.26 	140.72 	162.54 	193.21 	215.22 	207.08 	178.82 	165.89 	157.21 	150.06 	144.78 	153.67 	138.2 	: 	: 	: 	: 	: 
A,P_GERD,AT	: 	: 	: 	441.16 	452.35 	426.22 	493.25 	523.55 	424.18 	453.94 	448.18 	422.09 	362.33 	326.33 	288.35 	281.62 	260.63 	237.97 	257.48 	310.89 	282.58 	285.05 	293.69 	273.7 	275.63 	276.14 	276.13 	252.71 	277.01 	250.73 	215.44 	228.79 	219.49 	217.53 	203.62 	199.92 e	199.45 e	: 	: 	: 
A,P_GERD,BE	: 	: 	: 	: 	: 	223.95 	257.02 	221.03 	241.26 	243.79 	244.16 	243.15 	: 	221.83 	: 	254.47 	231.04 	223.91 	234.23 	285.65 	271.79 	291.15 	264.49 	226.13 	256.66 	263.29 	281.21 	273.64 	260.2 	246.18 	220.38 	204.8 	202.34 	185.6 	164.6 	160.93 e	156.28 e	: 	: 	: 
A,P_GERD,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	29.5 	21.75 	12.03 	31.85 	53.15 	70.86 	77.3 	41.99 	131.84 	105.31 	165 	140.43 	116.52 	104.15 	224.72 	180.11 	239.72 	177.51 	219.13 	223.85 	87.17 	111.94 	85.75 	78.72 	120.11 	133.31 	149.29 e	141.42 e	: 	: 	: 
