freq,unit,geo\TIME_PERIOD	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
A,GDP_BEUR,JP	: 	1.13 	3.5 	3.55 	3.79 	3.9 	3.93 	3.68 	3.63 	4.51 	4.44 	4.82 	5.39 	4.16 	3.74 	3.02 	2.7 	3.09 	3.88 	4.04 	4.69 	4.57 	4.31 	4.4 	4.98 	5.82 	6.21 	6.02 	6.32 	6.73 	5.9 	5.49 	5.28 	5.13 	4.55 	5.81 e	: 	: 	: 	: 
A,GDP_BEUR,KR	: 	: 	: 	: 	0.07 	0.04 	0.22 	0.25 	0.13 	0.11 	0.13 	0.23 	0.34 	0.41 	0.44 	0.67 	0.67 	0.63 	0.6 	1.05 	2.22 	2.04 	2.45 	3.43 	4.1 	4.36 	4.73 	4.66 	4.12 	3.07 	2.73 	3.88 	3.72 	3.21 	3.72 	3.56 e	3.32 e	: 	: 	: 
A,GDP_BEUR,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17.82 	7.99 	8.91 	9.97 	9.04 	9.13 	8.56 	8.68 	9.9 	8.93 	10.62 	9.21 	11.42 	7.74 	6.49 	: 	: 	: 	: 	: 
A,GDP_BEUR,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.58 	0.23 	0.15 	0.07 	0.29 	0.38 	0.23 	0.18 	1.02 	0.61 	0.42 	0.4 	0.34 	0.52 	0.31 	0.57 	0.61 	0.99 	1.17 e	0.74 e	: 	: 	: 
A,GDP_BEUR,LU	: 	2.85 	2.79 	6.44 	8.55 	6.91 	6.82 	5.92 	4.37 	2.56 	4.21 	2.18 	4.68 	2.91 	2.3 	2.92 	1.62 	1.82 	2.55 	3.12 	4.29 	3.14 	3.66 	3.23 	2.53 	3.38 	4.19 	3.25 	3.16 	1.97 	2.5 	2.1 	1.95 	1.67 	1.57 	1.43 e	0.69 e	: 	: 	: 
A,GDP_BEUR,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.24 	: 	: 	: 	0.67 	0.76 	0.25 	1.06 	0.56 	0.7 	0.72 	0.88 	1.38 	1.03 	0.75 	1 	1.01 	0.87 	0.88 	1.22 	2.87 e	1.96 e	: 	: 	: 
A,GDP_BEUR,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.6 	1.14 	1.32 	1.03 	1.21 	0.86 	0.7 	1.28 	2.28 	1.32 	1.23 	0.92 	1.31 	0.54 	0.05 	0.8 	0.67 e	: 	: 	: 	: 
A,GDP_BEUR,MX	: 	: 	0.02 	0.01 	0.02 	0.07 	0.02 	0.01 	0.07 	0.04 	0.05 	0.05 	0.04 	0.03 	0.02 	0.02 	0.02 	0.06 	0.04 	0.08 	0.07 	0.07 	0.05 	0.07 	0.08 	0.08 	0.06 	0.08 	0.07 	0.05 	0.05 	0.05 	0.05 	0.05 	0.04 	0.04 e	: 	: 	: 	: 
A,GDP_BEUR,NL	: 	4.29 	5.15 	5.77 	6.21 	6.34 	6.5 	6.55 	6.63 	7.37 	7.72 	7.63 	6.54 	5.79 	5.64 	5.29 	5.17 	5.49 	6.46 	7.06 	7.21 	7.67 	8.3 	8.77 	7.65 	7.34 	7.47 	6.85 	6.93 	5.86 	5.81 	6.03 	5.21 	5.76 	5.66 	5.59 e	2.87 e	: 	: 	: 
A,GDP_BEUR,NO	: 	1.49 	1.12 	1.25 	1.21 	0.98 	1.52 	1.46 	1.55 	1.38 	1.78 	1.93 	1.41 	1.75 	1.99 	1.71 	1.74 	2.1 	2.15 	2.25 	2.49 	2.55 	2.2 	1.87 	1.94 	1.77 	1.9 	2.04 	1.8 	1.68 	1.46 	2.19 	1.65 	1.39 	1.34 	1.29 e	0.71 e	: 	: 	: 
A,GDP_BEUR,NZ	: 	0.62 	0.66 	0.77 	1.52 	2.37 	1.83 	2.34 	1.27 	0.73 	0.81 	0.78 	0.38 	0.9 	1.13 	1.05 	1.12 	0.83 	0.93 	1.51 	1.65 	2.32 	3.53 	3.12 	3.09 	2.32 	1.54 	1.18 	1.32 	0.93 	0.86 	0.91 	0.83 	0.74 	: 	: 	: 	: 	: 	: 
A,GDP_BEUR,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.23 	0.18 	0.11 	0.16 	0.15 	0.14 	0.22 	0.2 	0.19 	0.23 	0.23 	0.28 	0.4 	0.57 	0.61 	0.52 	0.52 	0.65 	0.64 	0.94 	1.02 	1.04 	1.27 	1.4 e	0.81 e	: 	: 	: 
A,GDP_BEUR,PT	: 	0.03 	0.07 	0.07 	0.11 	0.08 	0.22 	0.28 	0.17 	0.21 	0.13 	0.09 	0.08 	0.09 	0.08 	0.16 	0.12 	0.16 	0.2 	0.22 	0.24 	0.31 	0.33 	0.32 	0.28 	0.47 	0.39 	0.8 	0.66 	0.73 	0.68 	0.55 	0.55 	0.71 	0.68 	0.72 e	0.4 e	: 	: 	: 
A,GDP_BEUR,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.25 	0.06 	0.23 	0.32 	0.26 	0.1 	0.26 	0.14 	0.23 	0.15 	0.23 	0.23 	0.31 	0.38 	0.36 	0.21 	0.26 	0.24 	0.26 	0.28 	0.46 	0.54 	0.6 e	: 	: 	: 	: 
A,GDP_BEUR,RU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.64 	0.42 	0.34 	0.34 	0.37 	0.7 	1.04 	0.95 	0.89 	0.57 	0.47 	0.33 	0.32 	0.22 	0.14 	0.1 	0.15 	0.17 	0.14 	0.14 	0.14 e	0.16 e	: 	: 	: 
A,GDP_BEUR,SE	: 	5.24 	6.02 	6.29 	7.39 	7.6 	6.88 	6.75 	5.99 	6.04 	5.24 	5.04 	4.79 	4.38 	5.1 	6.56 	7.33 	7.85 	8.36 	9.25 	9.19 	9.11 	8.63 	8.48 	7.75 	7.37 	7.7 	8.19 	8.29 	8.43 	8.37 	8.98 	8.05 	7.34 	7.57 	7.7 e	4.31 e	: 	: 	: 
A,GDP_BEUR,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.35 	1.37 	1.95 	1.66 	1.5 	1.1 	1.1 	2.01 	1.5 	2.28 	2.23 	3.39 	2.84 	4.11 	3.77 	3.23 	3.47 	3.73 	3.48 	2.99 	3.1 	3.59 	3.63 e	1.99 e	: 	: 	: 
A,GDP_BEUR,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.54 	0.46 	0.5 	0.67 	0.57 	0.8 	0.51 	0.52 	0.99 	1.06 	0.61 	0.81 	0.91 	0.71 	0.57 	0.46 	0.71 	0.79 	0.63 	0.69 e	0.37 e	: 	: 	: 
A,GDP_BEUR,TR	: 	: 	: 	: 	0.02 	0.03 	0.04 	0.03 	0.04 	0.02 	0.03 	0.04 	0.03 	0.03 	0 	0.02 	0.03 	0.04 	0.1 	0.1 	0.13 	0.09 	0.16 	0.23 	0.27 	0.31 	0.38 	0.43 	0.45 	0.51 	0.52 	0.78 	0.88 	0.7 	0.73 	0.78 e	0.44 e	: 	: 	: 
A,GDP_BEUR,UK	: 	5.39 	5.32 	5.24 	5.18 	5.48 	5.24 	5.23 	6.07 	5.81 	5.54 	4.92 	4.43 	4.01 	4.01 	4.09 	4.03 	4.23 	4.31 	3.76 	3.94 	4.07 	3.76 	3.43 	3.28 	3.42 	3.15 	3.04 	2.93 	2.7 	2.94 	3.42 	3.09 	3.07 	2.8 	2.83 e	: 	: 	: 	: 
A,GDP_BEUR,US	1.72 	2.61 	3.13 	2.61 	2.67 	2.5 	2.08 	2.04 	2.61 	3.21 	3.41 	3.2 	3.7 	3.47 	3.51 	3.13 	3.18 	3.74 	3.66 	3.45 	3.54 	3.42 	2.88 	2.68 	2.87 	3.37 	3.65 	3.58 	3.2 	3.09 	3.1 	2.94 	2.7 	2.91 	2.71 	2.8 e	: 	: 	: 	: 
A,GDP_BEUR,ZA	: 	0.41 	0.43 	0.71 	0.76 	1.07 	1.2 	1.58 	1.41 	0.7 	0.78 	0.79 	0.4 	0.41 	0.68 	0.6 	0.46 	0.39 	0.44 	0.8 	0.96 	0.96 	1.17 	1.11 	1.21 	0.75 	0.52 	0.43 	0.47 	0.33 	0.34 	0.29 	0.25 	0.22 	0.25 	0.27 e	0.28 e	: 	: 	: 
A,MIO_PPS,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 e	: 	: 	: 	: 
A,MIO_PPS,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0.01 	0.01 	0.01 	0.01 	0 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0 	0 	0 	0 	0 	0 e	: 	: 	: 	: 
A,MIO_PPS,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 e	: 	: 	: 	: 
