freq,sectperf,prof_pos,sex,unit,geo\TIME_PERIOD	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,BES,OTH,F,FTE,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5038 	4092 	4471 	2063 	2080 	1851 	1823 	1817 	1443 	1673 	1191 	1263 	1187 	531 	1721 b	1622 	1378 	1303 	1198 	1247 	1567 	1149 	1230 	1065 	1232 	1031 	988 	: 
A,BES,OTH,F,FTE,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	297.7 	417.8 	152.2 	73.6 	105.4 	145.1 	349.8 	406.4 	393.2 	380.8 	171.3 	136.5 	129.3 	98 	99 	110 	451 
A,BES,OTH,F,FTE,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3431 b	: 	3210 	: 	2816 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,BES,OTH,F,FTE,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	468 	535 	511 	463 	445 	489 	473 	551 	253 	230 	197 	195 	191 	202 	193 	203 b	221 	266 	374 b	345 	315 	361 	328 	358 	658 	693.1 	815.2 	752.5 	824.8 	818 	812 	: 
A,BES,OTH,F,FTE,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	607 	535 	508 	462 	378 	307 	257.1 	235.5 	166.1 	140 	136 	123.5 	130.6 	112.3 	107.3 	113.3 	149.4 	169.7 	178.5 	206.2 	204.1 	219.8 	245.9 	273.9 	317.1 	344.6 	: 
A,BES,OTH,F,FTE,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	118 	133 	224 	278 	345.7 	385.6 	551.7 	646.1 	713.5 	770.6 	947.5 	1130.7 	1288.1 	1608.9 	1745 	1646 	2154 	2732 	3162 	3127 	3617 	4433 	4428 	: 
A,BES,OTH,F,HC,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1244 	: 	: 	: 	1058 	: 	1390 	: 	1595 	1543 	: 	1517 	: 	1807 	: 	1670 	: 	1677 	: 	1416 	: 	1305 	: 	1828 	: 	1966 	: 
A,BES,OTH,F,HC,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	139 	104 	130 	: 	: 	: 	: 	72 	51 	54 	: 	: 	: 
A,BES,OTH,F,HC,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1550 	1569 	1779 	2009 	1893 	1947 	1897 	2016 	2446 	2528 	1718 	1755 	1296 	1400 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,BES,OTH,F,HC,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	979 	422 	374 	309 	248 	228 	142 	205 	168 	169 	172 	153 	139 	144 	170 	225 	281 	204 	: @C	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,BES,OTH,F,HC,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1635 	: 	: 	: 	2230 	: 	: 	: 	2280 	: 	: 	: 	3010 	: 	: 	: 	4094 	: 	: 	2612 	: 	4087 	: 	3769 	: 	3198 	: 	3865 	: 
A,BES,OTH,F,HC,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	45 	62 	63 	68 	74 	89 	91 	79 	85 	48 	42 	38 	32 	23 	18 	26 	25 	25 	49 	45 	58 	66 	70 	59 	: 	58 	: 
A,BES,OTH,F,HC,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1825 	1702 	1552 	1553 	1606 	1641 	1518 	1573 	1736 	1692 	1732 	2067 	2199 	2546 	2586 	2545 	2628 	2661 	3074 	3039 	3080 	3020 	3035 	2978 	3109 d	3181 dp
A,BES,OTH,F,HC,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18674 	: 	18730 	: 	18332 	: 	16586 	: 	15948 	: 	16519 	: 	17294 	: 	18401 	: 	18610 	: 	19782 b	: 
