"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2026-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Bahamas","BHS","Population âgée de plus de 65 ans, femmes","SP.POP.65UP.FE.IN","2613","2686","2771","2867","2976","3103","3242","3388","3536","3685","3816","3931","4046","4178","4325","4496","4685","4883","5095","5315","5540","5771","6014","6265","6519","6775","7028","7281","7535","7791","8060","8344","8646","8970","9314","9682","10072","10475","10894","11331","11793","12282","12800","13355","13946","14568","15222","15899","16586","17365","18212","19019","19787","20523","21222","21870","22479","23065","23651","24218","24745","25172","25717","26485","27322",
"Bosnie-Herzégovine","BIH","Population âgée de plus de 65 ans, femmes","SP.POP.65UP.FE.IN","68181","69907","70805","72220","74987","78992","83699","88460","92788","96997","101564","106051","110049","114047","118634","123954","129753","135565","140916","145296","148255","149684","149684","149599","151075","154366","159173","164797","170775","177399","184704","192629","198263","202774","210837","222007","234799","247805","260459","273272","286187","298900","311349","323355","334415","344180","352109","357548","360715","362589","364265","366393","369470","373816","378795","383882","389315","395147","402674","410685","416161","417110","420152","427615","434517",
"Bélarus","BLR","Population âgée de plus de 65 ans, femmes","SP.POP.65UP.FE.IN","387080","395286","399941","409638","423053","442632","462762","476505","493991","511870","530968","549146","566201","583404","600948","622588","642114","660455","679220","690264","694132","691305","683897","682102","683331","685308","689607","701548","718575","737001","757786","778856","800477","822353","843735","865463","881797","894473","904741","906325","909628","918880","929706","940338","950015","955116","956210","951488","936768","919104","901776","888678","887046","892161","903886","918697","931599","944720","956878","972326","988388","999531","1014857","1038317","1065348",
"Belize","BLZ","Population âgée de plus de 65 ans, femmes","SP.POP.65UP.FE.IN","1983","2045","2105","2175","2253","2328","2400","2473","2540","2599","2656","2714","2777","2851","2924","2999","3081","3164","3239","3303","3360","3415","3472","3527","3576","3631","3684","3724","3763","3809","3865","3931","3930","3871","3857","3923","4063","4245","4443","4641","4845","5017","5144","5266","5393","5532","5674","5808","5940","6078","6206","6331","6490","6682","6907","7173","7476","7799","8137","8504","8891","9292","9754","10291","10893",
"Bermudes","BMU","Population âgée de plus de 65 ans, femmes","SP.POP.65UP.FE.IN","1376","1397","1423","1456","1494","1538","1585","1632","1685","1749","1819","1889","1956","2023","2093","2164","2240","2316","2394","2467","2538","2609","2673","2735","2800","2873","2958","3015","3032","3037","3033","3073","3162","3257","3365","3489","3615","3697","3735","3773","3859","3981","4097","4227","4357","4478","4599","4686","4737","4780","4886","5063","5248","5444","5623","5779","5954","6161","6378","6616","6879","7158","7444","7738","8042",
"Bolivie","BOL","Population âgée de plus de 65 ans, femmes","SP.POP.65UP.FE.IN","105417","105569","105679","105802","106048","106488","107112","107915","108904","110073","111429","112973","114666","116535","118621","120927","123500","126310","129200","132011","134705","137266","139642","141933","144347","146961","149730","152689","155937","159601","163698","168225","173205","180755","190625","200398","210057","219517","228722","237656","246224","254307","260082","263862","267764","271860","276169","280837","285989","291640","297864","304546","311355","317574","323044","328770","335076","341675","348646","356064","361296","362871","367473","377186","388077",
"Brésil","BRA","Population âgée de plus de 65 ans, femmes","SP.POP.65UP.FE.IN","963082","1004168","1049259","1097208","1147181","1199580","1254684","1311585","1370409","1431752","1495624","1562409","1632794","1706860","1784421","1865587","1949635","2035429","2122672","2211312","2300520","2389592","2479178","2570892","2666302","2766837","2874278","2990645","3117201","3252961","3395901","3545818","3703768","3869449","4041470","4217975","4398333","4582373","4766627","4947895","5126043","5304975","5487692","5677161","5876867","6084992","6302457","6531777","6772510","7025851","7292775","7579675","7893562","8235507","8612035","9015116","9432892","9866706","10316656","10781357","11214864","11630708","12087223","12590111","13129180",
"Barbade","BRB","Population âgée de plus de 65 ans, femmes","SP.POP.65UP.FE.IN","7661","7619","7604","7624","7697","7835","8045","8312","8585","8806","8965","9082","9169","9252","9365","9514","9693","9891","10098","10290","10663","11247","11849","12470","13097","13722","14339","14943","15535","16101","16379","16450","16587","16727","16879","17034","17145","17249","17378","17501","17504","17515","17676","17799","17866","17944","18028","18142","18365","18705","18993","19210","19508","19879","20316","20794","21267","21788","22384","23049","23817","24646","25427","26144","26925",
"Brunéi Darussalam","BRN","Population âgée de plus de 65 ans, femmes","SP.POP.65UP.FE.IN","1851","1896","1930","1966","2006","2045","2080","2115","2148","2179","2018","1736","1676","1775","1876","1971","2060","2144","2229","2306","2373","2439","2503","2574","2655","2744","2831","2905","2975","3058","3151","3244","3336","3432","3551","3709","3897","4103","4315","4537","4761","4979","5198","5425","5676","5955","6246","6497","6692","6853","6994","7199","7556","8032","8570","9172","9841","10586","11403","12280","13211","14127","14961","15866","16911",
"Bhoutan","BTN","Population âgée de plus de 65 ans, femmes","SP.POP.65UP.FE.IN","2791","2861","2936","3014","3097","3187","3281","3381","3492","3607","3730","3859","3991","4133","4284","4448","4617","4795","4985","5187","5402","5626","5857","6103","6364","6638","6928","7230","7550","7887","8232","8530","8375","8208","8376","8460","8665","9030","9427","10021","10811","11632","12478","13346","14222","14963","15490","15946","16425","16935","17469","18017","18575","19151","19745","20370","21047","21551","21908","22388","22997","23688","24423","25174","25921",
