"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2026-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Bosnie-Herzégovine","BIH","Revenus fiscaux (% du PIB)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.98860927297673E-05","2.16899552075396E-05","2.13942700350267E-05","2.03021134967433E-05","1.89462859848687E-05","1.96856764045362E-05","2.03056652821355E-05","2.04775399413527E-05","1.97515439048604E-05","1.97779011953067E-05","1.97000106512728E-05","1.97137453121178E-05","1.99876501155093E-05","2.0141018442084E-05","1.98265969676567E-05","1.87506430544753E-05","1.9098149294853E-05","1.90910598721056E-05","1.90586852173251E-05","2.03059477554195E-05",
"Bélarus","BLR","Revenus fiscaux (% du PIB)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.05434782608696E-05","2.66395939086294E-05","2.47501826561007E-05","1.98876469280001E-05","1.87997748111698E-05","2.07345909549383E-05","1.71123289388046E-05","1.66724761934976E-05","1.66247345026167E-05","1.57546642442876E-05","1.42010383230738E-05","1.76881219095961E-05","1.83713469008917E-05","2.01496562779039E-05","2.22230966228065E-05","2.37266987288672E-05","2.53533892078637E-05","1.86294706290955E-05","1.63214383764955E-05","1.45090725642403E-05","1.46629750334495E-05","1.33549628478795E-05","1.26977245264198E-05","1.41730944598815E-05","1.37882356106963E-05","1.30190056095517E-05","1.46725689729455E-05","1.33015061369933E-05","1.20229232611634E-05","1.28250049638453E-05","1.12335456201836E-05","1.270106334387E-05","",
"Belize","BLZ","Revenus fiscaux (% du PIB)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.61715322302651E-05","1.54363605008429E-05","1.48494882040541E-05","1.45289799611209E-05","1.49883136098508E-05","1.42066803263293E-05","1.47375323562094E-05","1.47330318877743E-05","1.46085720098122E-05","1.27543098492112E-05","1.30334359248671E-05","1.39120493779612E-05","1.4468908794637E-05","1.45150475213548E-05","1.4855606548198E-05","1.61007432416667E-05","1.66753004203618E-05","1.73387443353701E-05","1.7082969600109E-05","1.7805730436574E-05","1.88492959701734E-05","1.83208816753347E-05","1.83628959510632E-05","1.84715397684085E-05","1.98625602469168E-05","1.97057091458161E-05","2.06436561300688E-05","2.1346693969945E-05","","","","","","","",
"Bermudes","BMU","Revenus fiscaux (% du PIB)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivie","BOL","Revenus fiscaux (% du PIB)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","8.25811409262511E-06","8.01995452889205E-06","7.94905256695826E-06","7.28055147595597E-06","7.09474320469439E-06","7.23622459330852E-06","7.93272957509908E-06","8.89978861639267E-06","9.51634540053983E-06","1.00454684272089E-05","9.72232949409585E-06","1.22938525238754E-05","1.26203460249816E-05","1.35465291507295E-05","1.20397851865925E-05","1.23308028811412E-05","1.17825460461138E-05","1.3184104975504E-05","1.29730003184295E-05","1.50163488014671E-05","1.62151641032531E-05","1.68161681591928E-05","1.69648657360861E-05","","","","","","","","","","","","","","","","","",
"Brésil","BRA","Revenus fiscaux (% du PIB)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.42495759566254E-08","1.48512987833721E-08","1.43324110911528E-08","1.41253057439527E-08","1.34900745186687E-08","1.36296293653745E-08","1.3710430980954E-08","1.36052285153591E-08","1.39401079934694E-08","1.3737694839557E-08","1.27193878562394E-08","1.4136675133405E-08","1.4725847914016E-08","1.40418624162203E-08","1.54102340842559E-08",
"Barbade","BRB","Revenus fiscaux (% du PIB)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.52434179778782E-05","2.57744229931775E-05","2.67347427673779E-05","2.5285724436025E-05","2.59499389934438E-05","2.54000671111602E-05","2.47074140343927E-05","1.97340998695553E-05","2.13445063127969E-05","1.95805148703885E-05","1.90400677230378E-05","1.96498849411095E-05","2.10107447855883E-05","2.34022178303317E-05","","","","","","","","",
"Brunéi Darussalam","BRN","Revenus fiscaux (% du PIB)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhoutan","BTN","Revenus fiscaux (% du PIB)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","5.72036429409445E-06","6.63490069992768E-06","7.60358124617062E-06","6.72879359981909E-06","7.1119929270911E-06","","6.22493994439051E-06","5.41139381452257E-06","4.60005636623578E-06","5.15290674353183E-06","5.27110995217359E-06","6.48847259207354E-06","6.19493563212013E-06","6.89825503766094E-06","7.85249702894329E-06","6.79327260704803E-06","8.31144869899845E-06","7.36250647127559E-06","9.54839427433829E-06","8.18849908664852E-06","8.88044240255123E-06","8.93520956577544E-06","7.34197987914533E-06","7.9437825068602E-06","8.59855405734501E-06","7.16212410171711E-06","8.03787521608618E-06","8.77362894561627E-06","1.21941395950822E-05","1.24317424973806E-05","1.3588728073627E-05","1.3302594743585E-05","1.25052991179472E-05","1.21453454217218E-05","1.18864300663326E-05","1.18591944993995E-05","1.58040236380698E-05","1.44975527173232E-05","1.22846363802964E-05","","","","",
"Botswana","BWA","Revenus fiscaux (% du PIB)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.75016129375315E-05","2.5557193488693E-05","2.78455400724745E-05","2.36847992198649E-05","1.99167439175835E-05","1.67657958548749E-05","1.49371078939367E-05","","","","","","","","","","2.75264402404069E-05","2.66174562731084E-05","2.79208998753179E-05","2.76868140219818E-05","2.38833642056949E-05","2.40453261607064E-05","2.80365776616041E-05","2.67403906303594E-05","2.70928299660417E-05","2.63110988512498E-05","2.16300553227647E-05","2.39334963141963E-05","2.1740494569157E-05","2.10985509979513E-05","2.22747050330683E-05","2.22304202220167E-05","1.96495295038272E-05","1.87133278342197E-05","2.24882379320016E-05",
