indicatorId,geoUnit,year,type,subtype,value
ILLPOP.AG15T99,BEN,2023,Data Status,Data reporting,"Literacy definition: 2013 IPUMS: The question relative to this variable only concerns those of 6 or more years of age. Literacy is a persons' ability to read and write, while understanding, a text on daily events in any language [national language, foreign language]. In all samples, literacy is the ability to read and write in any language, including local languages."
ILLPOP.AG15T99,BEN,2023,Source,Data sources,Source: UIS estimates: GALP
ILLPOP.AG15T99,BFA,1991,Data Status,Data reporting,"Literacy definition: A person is defined as literate if they can both read and write a short, simple statement on his or her everyday life."
ILLPOP.AG15T99,BFA,1991,Source,Data sources,Source: Population Census
ILLPOP.AG15T99,BFA,1996,Data Status,Data reporting,Literacy definition: Literates are persons who declare that they can read and write in either a national language or a foreign language.
ILLPOP.AG15T99,BFA,1996,Source,Data sources,Source: Population Census
ILLPOP.AG15T99,BFA,2003,Data Status,Data reporting,Literacy definition: Literates are persons who declare that they can read and write in any language.
ILLPOP.AG15T99,BFA,2003,Source,Data sources,Source: Household Life Conditions Survey
ILLPOP.AG15T99,BFA,2005,Data Status,Data reporting,Literacy definition: Literates are persons who declare that they can read and write in any language.
ILLPOP.AG15T99,BFA,2005,Source,Data sources,Source: Household Life Conditions Survey
ILLPOP.AG15T99,BFA,2006,Data Status,Data reporting,Literacy definition: Does (Name of a person) know how to read and write fluently in a language? Specify the main foreign language spoken and written on the first line and the second local language spoken and written on the second line.
ILLPOP.AG15T99,BFA,2006,Source,Data sources,Source: Population Census
ILLPOP.AG15T99,BFA,2007,Data Status,Data reporting,Literacy definition: Literates are persons who declare that they can read and write in any language.
ILLPOP.AG15T99,BFA,2007,Source,Data sources,Source: Household Life Conditions Survey
ILLPOP.AG15T99,BFA,2014,Data Status,Data reporting,"Literacy definition: (Name of a person) can he/she read and write in these languages? (French, the national language, another language)."
ILLPOP.AG15T99,BFA,2014,Source,Data sources,Source: Multi-sector continuous survey
